name,operator,city,state,full_address,suggested_query_1,suggested_query_2,suggested_query_3
Prime Chicago - Building 3,Prime Data Centers,Elk Grove Village,IL,"1701 Midway Court, Elk Grove Village, IL, 60007, USA","""Prime Chicago - Building 3"" ""Prime Data Centers"" ""opening""","""Prime Chicago - Building 3"" ""Elk Grove Village"" ""data center"" ""announced""","""Prime Data Centers"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Prime Chicago - Building 1,Prime Data Centers,Elk Grove Village,IL,"1500 E Higgins Rd, Elk Grove Village, IL 60007, USA, Elk Grove Village, IL, 60007, USA","""Prime Chicago - Building 1"" ""Prime Data Centers"" ""opening""","""Prime Chicago - Building 1"" ""Elk Grove Village"" ""data center"" ""announced""","""Prime Data Centers"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Summit Chicago,Summit (formerly Deft),Chicago,IL,"350 East Cermak Road, Chicago, IL, 60616, USA","""Summit Chicago"" ""Summit (formerly Deft)"" ""opening""","""Summit Chicago"" ""Chicago"" ""data center"" ""announced""","""Summit (formerly Deft)"" ""Chicago"" ""facility"" ""commissioned"""
Iron Mountain Data Centers CHI-1,Iron Mountain Data Centers,Des Plaines,IL,"1680 Touhy Avenue, Des Plaines, IL, 60018, USA","""Iron Mountain Data Centers CHI-1"" ""Iron Mountain Data Centers"" ""opening""","""Iron Mountain Data Centers CHI-1"" ""Des Plaines"" ""data center"" ""announced""","""Iron Mountain Data Centers"" ""Des Plaines"" ""facility"" ""commissioned"""
Colocation America CHIDC1,Colocation America,Chicago,IL,"350 E. Cermak Rd, Chicago, IL, 60616, USA","""Colocation America CHIDC1"" ""Colocation America"" ""opening""","""Colocation America CHIDC1"" ""Chicago"" ""data center"" ""announced""","""Colocation America"" ""Chicago"" ""facility"" ""commissioned"""
CyrusOne CHI1 - Aurora,CyrusOne Data Centers,Lombard,IL,"2905 Diehl Rd., Lombard, IL, 60148, USA","""CyrusOne CHI1 - Aurora"" ""CyrusOne Data Centers"" ""opening""","""CyrusOne CHI1 - Aurora"" ""Lombard"" ""data center"" ""announced""","""CyrusOne Data Centers"" ""Lombard"" ""facility"" ""commissioned"""
Legacy - Chicago Byte Exchange,Legacy Investing,Chicago,IL,"400 S LaSalle St, Chicago, IL, 60605, USA","""Legacy - Chicago Byte Exchange"" ""Legacy Investing"" ""opening""","""Legacy - Chicago Byte Exchange"" ""Chicago"" ""data center"" ""announced""","""Legacy Investing"" ""Chicago"" ""facility"" ""commissioned"""
Prime Chicago - Building 2,Prime Data Centers,Elk Grove Village,IL,"1600 Oakton St, Elk Grove Village, IL, 60007, USA","""Prime Chicago - Building 2"" ""Prime Data Centers"" ""opening""","""Prime Chicago - Building 2"" ""Elk Grove Village"" ""data center"" ""announced""","""Prime Data Centers"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Apotech Data Center,Apotech,Mt Prospect,IL,"1331 E Business Center Dr, Mt Prospect, IL, 60056, USA","""Apotech Data Center"" ""Apotech"" ""opening""","""Apotech Data Center"" ""Mt Prospect"" ""data center"" ""announced""","""Apotech"" ""Mt Prospect"" ""facility"" ""commissioned"""
TierPoint Chicago - Polk,TierPoint,Chicago,IL,"601 W. Polk St., Chicago, IL, 60607, USA","""TierPoint Chicago - Polk"" ""TierPoint"" ""opening""","""TierPoint Chicago - Polk"" ""Chicago"" ""data center"" ""announced""","""TierPoint"" ""Chicago"" ""facility"" ""commissioned"""
Element Critical Chicago One,Element Critical,Wood Dale,IL,"711 N. Edgewood Ave., Wood Dale, IL, 60191, USA","""Element Critical Chicago One"" ""Element Critical"" ""opening""","""Element Critical Chicago One"" ""Wood Dale"" ""data center"" ""announced""","""Element Critical"" ""Wood Dale"" ""facility"" ""commissioned"""
Skybox Chicago I,Skybox Datacenters,Elk Grove Village,IL,"800 E Devon Ave, Elk Grove Village, IL, 60007, USA","""Skybox Chicago I"" ""Skybox Datacenters"" ""opening""","""Skybox Chicago I"" ""Elk Grove Village"" ""data center"" ""announced""","""Skybox Datacenters"" ""Elk Grove Village"" ""facility"" ""commissioned"""
DataBank ORD4 - Chicago Tri-State,DataBank,Oak Brook,IL,"1808 Swift Dr, Oak Brook, IL, 60523, USA","""DataBank ORD4 - Chicago Tri-State"" ""DataBank"" ""opening""","""DataBank ORD4 - Chicago Tri-State"" ""Oak Brook"" ""data center"" ""announced""","""DataBank"" ""Oak Brook"" ""facility"" ""commissioned"""
DataBank ORD3 - Mount Prospect,DataBank,Mt. Prospect,IL,"800 E Business Center Dr, Mt. Prospect, IL, 60056, USA","""DataBank ORD3 - Mount Prospect"" ""DataBank"" ""opening""","""DataBank ORD3 - Mount Prospect"" ""Mt. Prospect"" ""data center"" ""announced""","""DataBank"" ""Mt. Prospect"" ""facility"" ""commissioned"""
Cogent Data Center - Chicago 1,"Cogent Communications, Inc.",Chicago,IL,"427 LaSalle St, Chicago, IL, 60606, USA","""Cogent Data Center - Chicago 1"" ""Cogent Communications, Inc."" ""opening""","""Cogent Data Center - Chicago 1"" ""Chicago"" ""data center"" ""announced""","""Cogent Communications, Inc."" ""Chicago"" ""facility"" ""commissioned"""
Cogent Data Center - Chicago 2,"Cogent Communications, Inc.",Chicago,IL,"216 W. Jackson Blvd, Chicago, IL, 60606, USA","""Cogent Data Center - Chicago 2"" ""Cogent Communications, Inc."" ""opening""","""Cogent Data Center - Chicago 2"" ""Chicago"" ""data center"" ""announced""","""Cogent Communications, Inc."" ""Chicago"" ""facility"" ""commissioned"""
Element Critical Chicago Two,Element Critical,Wood Dale,IL,"341 Haynes Dr, Wood Dale, IL, 60191, USA","""Element Critical Chicago Two"" ""Element Critical"" ""opening""","""Element Critical Chicago Two"" ""Wood Dale"" ""data center"" ""announced""","""Element Critical"" ""Wood Dale"" ""facility"" ""commissioned"""
Colocation America CHIDC4,Colocation America,Oak Brook,IL,"1808 Swift Dr., Oak Brook, IL, 60523, USA","""Colocation America CHIDC4"" ""Colocation America"" ""opening""","""Colocation America CHIDC4"" ""Oak Brook"" ""data center"" ""announced""","""Colocation America"" ""Oak Brook"" ""facility"" ""commissioned"""
Equinix CH4,Equinix,Chicago,IL,"350 E Cermak Rd, Chicago, IL, 60616, USA","""Equinix CH4"" ""Equinix"" ""opening""","""Equinix CH4"" ""Chicago"" ""data center"" ""announced""","""Equinix"" ""Chicago"" ""facility"" ""commissioned"""
TierPoint Chicago - West,TierPoint,Franklin Park,IL,"9333 West Grand Ave., Franklin Park, IL, 60131, USA","""TierPoint Chicago - West"" ""TierPoint"" ""opening""","""TierPoint Chicago - West"" ""Franklin Park"" ""data center"" ""announced""","""TierPoint"" ""Franklin Park"" ""facility"" ""commissioned"""
Equinix CH7,Equinix,Westmont,IL,"111 Plaza Drive, Westmont, IL, 60559, USA","""Equinix CH7"" ""Equinix"" ""opening""","""Equinix CH7"" ""Westmont"" ""data center"" ""announced""","""Equinix"" ""Westmont"" ""facility"" ""commissioned"""
US Signal Chicago IL01,"US Signal Company, LLC",Oak Brook,IL,"810 Jorie Blvd, Oak Brook, IL, 60523, USA","""US Signal Chicago IL01"" ""US Signal Company, LLC"" ""opening""","""US Signal Chicago IL01"" ""Oak Brook"" ""data center"" ""announced""","""US Signal Company, LLC"" ""Oak Brook"" ""facility"" ""commissioned"""
STACK Infrastructure CHI01B,STACK INFRASTRUCTURE,Elk Grove Village,IL,"1301 Touhy Ave, Elk Grove Village, IL, 60007, USA","""STACK Infrastructure CHI01B"" ""STACK INFRASTRUCTURE"" ""opening""","""STACK Infrastructure CHI01B"" ""Elk Grove Village"" ""data center"" ""announced""","""STACK INFRASTRUCTURE"" ""Elk Grove Village"" ""facility"" ""commissioned"""
DataBank ORD2 - Chicago,DataBank,Chicago,IL,"840 S Canal St, Chicago, IL, 60607, USA","""DataBank ORD2 - Chicago"" ""DataBank"" ""opening""","""DataBank ORD2 - Chicago"" ""Chicago"" ""data center"" ""announced""","""DataBank"" ""Chicago"" ""facility"" ""commissioned"""
DataBank ORD1 - Downtown Chicago,DataBank,Chicago,IL,"600 S Federal St, Chicago, IL, 60605, USA","""DataBank ORD1 - Downtown Chicago"" ""DataBank"" ""opening""","""DataBank ORD1 - Downtown Chicago"" ""Chicago"" ""data center"" ""announced""","""DataBank"" ""Chicago"" ""facility"" ""commissioned"""
EdgeConneX Chicago - EDCCHI02,EdgeConneX,Elk Grove Village,IL,"2021 Lunt Ave, Elk Grove Village, IL, 60007, USA","""EdgeConneX Chicago - EDCCHI02"" ""EdgeConneX"" ""opening""","""EdgeConneX Chicago - EDCCHI02"" ""Elk Grove Village"" ""data center"" ""announced""","""EdgeConneX"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Centersquare - Chicago ORD1-A,Csquare,Chicago,IL,"350 East Cermak, Chicago, IL, 60616, USA","""Centersquare - Chicago ORD1-A"" ""Csquare"" ""opening""","""Centersquare - Chicago ORD1-A"" ""Chicago"" ""data center"" ""announced""","""Csquare"" ""Chicago"" ""facility"" ""commissioned"""
